"","search","maxDepth","duration","odbaMean","bottomPcnt","bathy","diveRatio","shoreDist","slope","terrainRugg","rugosity"
"1553","1",-5.25281548,169.4465599,0.367655368,0.20968891,-10.4292002,0.503664268,0.00279356,-0.084697,0.0038824,0.993621
"1554","0",-4.389576308,124.9924903,0.199281007,0.169577465,-10.6386003,0.412608443,0.003285572,-0.0081102,0.0023934,0.999809
"1555","1",-6.68548117,186.2061163,0.181394107,0.282495948,-10.71,0.624227934,0.003919794,0.02266,0.0049656,0.999545
"1556","0",-5.020489484,259.6624675,0.118476308,0.527816519,-11.4180002,0.439699544,0.004862757,-0.241294,0.0068827,0.970035
"1557","0",-6.303586154,316.2687245,0.148673284,0.11972391,-12.6618004,0.497842799,0.005821153,-0.48834,0.0168667,0.871399
"1558","1",-6.278901492,271.7241171,0.130094464,0.202621154,-17.7828999,0.353086478,0.005946577,-0.606707,0.308736,0.576265
"1559","0",-9.984305684,155.1013453,0.137879489,0.137242184,-12.6117001,0.791670085,0.006040572,0.982887,0.151574,-0.0172223
"1560","1",-8.112165653,334.4165275,0.180813359,0.182775321,-9.2410402,0.877841182,0.00582888,0.367233,0.0560733,0.925876
"1561","1",-8.617735179,340.6736968,0.124819165,0.105861509,-9.7414198,0.884648784,0.005886189,0.374465,0.0036582,0.92616
"1562","1",-12.11143624,327.7167288,0.174256594,0.207692544,-10.6308002,1,0.006020296,0.239449,0.0051137,0.967326
"1563","1",-11.01557505,350.8742912,0.272140566,0.240373864,-13.0936003,0.841294586,0.006043721,0.312535,0.09379,0.937041
"1564","1",-7.484804198,192.6745406,0.183304423,0.279695087,-10.5683002,0.708231604,0.005568483,0.36963,0.0473936,0.905817
"1565","1",-7.988795783,288.4534943,0.142276041,0.161086699,-10.3976002,0.768330733,0.005161532,0.30443,0.0269702,0.951734
"1566","0",-7.584105963,285.1538937,0.136235168,0.048437169,-12.7573996,0.594486823,0.004793351,-0.381282,0.60548,0.105311
"1567","0",-8.570307562,224.2420604,0.215179449,0.239782872,-10.7886,0.794385515,0.005030058,0.419804,0.347749,0.877732
"1568","1",-10.07442272,341.2672226,0.151292367,0.104085603,-14.2729998,0.705837796,0.005512531,-0.81642,0.192233,0.574683
"1569","1",-7.865108616,299.800901,0.210879949,0.484564794,-12.4120998,0.633664629,0.005817243,-0.763035,0.820831,-0.455963
"1570","1",-8.891086259,353.1779758,0.136139945,0.046456648,-20.0042,0.444460976,0.006151453,0.0404618,0.0836713,0.99689
"1571","1",-7.862517266,314.5082669,0.183175742,0.144735159,-20.5021992,0.383496287,0.004323944,0.790249,0.0650624,0.56767
"1572","0",-14.30151248,316.329083,0.135024281,0.492478931,-12.4476004,1,0.002822499,0.77235,0.0255037,0.622878
"1573","1",-6.702480726,349.5162239,0.1497297,0.524752475,-11.3649998,0.589747545,0.002036814,0.474705,0.0121486,0.875741
"1574","1",-5.799131735,315.3532865,0.169327465,0.520734975,-13.6042995,0.426271984,0.002527961,0.294108,0.0055835,0.954871
"1575","1",-8.951207945,353.9928161,0.13451907,0.385035096,-14.2930002,0.626265152,0.004250669,0.5136,0.0124999,0.853855
"1576","1",-9.514473272,364.0223946,0.155538848,0.875559609,-14.5874004,0.652239125,0.006069655,0.76471,0.0977749,0.603028
"1577","1",-9.587376718,270.6678425,0.235525805,0.741135806,-14.6584997,0.654048976,0.005686077,-0.698296,0.0350699,0.682661
"1578","1",-9.110985858,294.3887514,0.146788303,0.640718972,-15.2969999,0.595606061,0.005689763,-0.306593,0.0371895,0.935595
"1579","1",-13.88676291,290.1837726,0.139397356,0.080843098,-16.6744995,0.832814377,0.005514509,0.209407,0.0279611,0.974399
"1580","0",-12.45549496,355.0088517,0.128097803,0.8345707,-16.1364002,0.771888079,0.00392051,0.48141,0.1129,0.846813
"1581","0",-10.74813781,294.9923368,0.155496776,0.940492429,-15.4749002,0.694552965,0.002803328,-0.582403,0.663087,-0.704486
"1582","1",-12.35546747,275.8787971,0.13876595,0.250838681,-15.6684999,0.788554587,0.002803635,0.473146,0.296668,-0.869017
"1583","1",-11.62845694,320.4133447,0.163553377,0.116982198,-13.2889004,0.87505035,0.001724155,0.669211,0.0894946,0.712036
"1584","0",-4.391141905,137.6476656,0.153082456,0.05824746,-5.9731202,0.735150434,0.001292585,0.932892,0,0.223902
"1585","0",-6.897723592,325.2520882,0.151375901,0.248175182,0,1,0.001869866,0,0,0
"1586","1",-6.389985135,312.9791837,0.166296822,0.386249679,-7.2074699,0.886578123,0.002759886,-0.8582,0,-0.312488
"1587","0",-8.226454182,116.572473,0.203627965,0.171211598,-7.4299202,1,0.00335567,-0.823079,0,0.364657
"1588","0",-10.98066708,141.8124053,0.139615653,0.104986877,-8.3324099,1,0.003800253,-0.280302,0.235306,0.785813
"1589","0",-3.057791043,56.54589842,0.273670698,0.216509518,-10.5267,0.290479547,0.004164117,-0.325708,0.183873,0.879315
"1590","0",-3.353761241,43.99132072,0.132438316,0.111593871,-10.0386,0.33408655,0.004146891,-0.552649,0.200383,0.721808
"1591","0",-1.527007988,3.691931101,0.347766842,0.866485014,-9.8727999,0.15466818,0.00414108,-0.625279,0.205588,0.666304
"1592","0",-1.8506556,3.792528679,0.119122851,0.763925729,-9.8168497,0.188518278,0.004139229,-0.650692,0.207326,0.646326
"1593","0",-1.921686466,4.677787363,0.118347312,0.744086022,-11.8634005,0.161984455,0.004109494,-0.904011,0.175201,0.27362
"1594","0",-10.16767677,75.96123091,0.180042382,0.103827308,-12.9358997,0.786004608,0.004099279,-0.905848,0.167753,0.228472
"1595","0",-1.733602414,5.331671618,0.199574598,0.603773585,-13.9045,0.124679234,0.004090953,-0.913611,0.158444,0.188208
"1596","0",-7.117105687,69.50286643,0.167348536,0.250253293,-14.7173996,0.483584457,0.004085054,-0.927526,0.147499,0.155003
"1597","0",-1.729190212,2.987748057,0.202284649,0.757575758,-15.3603001,0.112575288,0.004081257,-0.94738,0.135097,0.129493
"1598","1",-7.390407178,209.1323043,0.176841412,0.052623984,-16.6175003,0.444736395,0.004109191,-0.910088,0.0832227,0.338826
"1599","0",-4.091692683,20.53196561,0.144713081,0.175404214,-17.1695995,0.238310316,0.004199183,-0.77145,0.0535069,0.622297
"1600","0",-2.537708326,3.359959095,0.140126618,0.419161677,-17.2206001,0.147364686,0.004210663,-0.756565,0.0511275,0.649608
"1601","1",-10.41810179,276.8847728,0.13992386,0.491425665,-17.7262993,0.587720066,0.004615454,-0.507003,0.0308577,0.859833
"1602","1",-12.76676512,316.4799794,0.154250111,0.787666879,-19.0657005,0.669619515,0.006484163,-0.10038,0.0107119,0.994031
"1603","0",-12.59452377,332.7868468,0.121179063,0.690124241,-17.3309002,0.726709151,0.008220055,-0.225398,0.0184989,0.959202
"1604","0",-11.83320064,317.0835649,0.120886716,0.938895939,-17.1646004,0.689395638,0.009081513,0.149938,0.0286073,0.985436
"1605","1",-12.80736379,340.583159,0.134937972,0.459682183,-16.2635994,0.787486428,0.008220056,-0.599212,0.0224432,0.79288
"1606","1",-12.70233188,320.0813727,0.13943978,0.119429254,-19.4405994,0.653391987,0.007733331,-0.896619,0.0593914,0.40232
"1607","1",-12.7304243,220.7211452,0.136534376,0.081719156,-19.5709,0.650477203,0.007319629,0.775378,0.239882,0.318535
"1608","1",-13.27621673,331.0666282,0.127612987,0.403433607,-14.2687998,0.930436821,0.006937079,0.854804,0.123473,0.46162
"1609","1",-9.182288976,268.5754129,0.157709808,0.803655705,-14.0787001,0.652211419,0.00674263,-0.461737,0.0539218,0.846152
"1610","1",-9.578592205,328.0788801,0.141040106,0.905467145,-15.1876001,0.630685042,0.006925712,0.156857,0.0592,0.96529
